,Adrenal.glands,Bile.duct,Bladder,Brain,Large.intetsine,Diaphragm,Oesophagus,Gallbladder,Heart,Small.intestine,Kidney,Liver,Lung,Neck.head,Pancreas,Pleura,Spleen,Stomach,Thyroid
Adrenal.glands,1,,,,1,1,1,,,1,1,1,,,1,,1,1,
Bile.duct,,,,,,,,,,,,,,,,,,,
Bladder,,,1,,1,,,,,,,,,,,,,,
Brain,,,,1,,,,,,,,,,1,,,,,1
Large.intestine,1,,1,,1,1,1,,,1,1,1,,,1,,1,1,
Diaphragm,1,,,,1,1,1,,,1,1,1,,,1,1,1,1,
Oesophagus,1,,,,1,1,1,,,1,1,1,,,1,1,1,1,
Gallbladder,,,,,,,,1,,,,1,,,1,,,1,
Heart,,,,,,,,,1,,,,1,,,,,,
Small.intestine,1,,,,1,1,1,,,1,1,1,,,1,,1,1,
Kidney,1,,,,1,1,1,,,1,1,1,,,1,,1,1,
Liver,1,,,,1,1,1,1,,1,1,1,,,1,,1,1,
Lung,,,,,,,,,1,,,,1,,,,,,
Neck.head,,,,1,,,,,,,,,,1,,,,,1
Pancreas,1,,,,1,1,1,1,,1,1,1,,,1,,1,1,
Pleura,,,,,,1,1,,,,,,,,,1,,,
Spleen,1,,,,1,1,1,,,1,1,1,,,1,,1,1,
Stomach,1,,,,1,1,1,1,,1,1,1,,,1,,1,1,
Thyroid,,,,1,,,,,,,,,,1,,,,,1
