organ,flow.rate.LW,blood.perf.LW,W,blood.vol(ml),blood.vol.g,blood.flow.ml.min,transit.time,blood.flow.g,weight.g,blood.content,blood.eq.g,blood.flow (ml/100gr*min),cell.count,log.cell.count,Cardiac.output %,normalcells,log.ncell,normalsc,scdivY,scdivL,cum_scdivL,C,C.g,N,N.g,O,O.g,P,P.g,N.P.g,C.P.g,C.O.g,P.N,C.P,C.O,s.deg,sMI,a.deg,aMI
Adrenal.glands,,,14,3,0.214,91,0.04,6.5,13.5,0.06,64.5,508,10300000000,10.01283722,10.01283722,,,,,,,4,0.296296296,0.4,0.02962963,8.2,0.607407407,0.015,0.001111111,26.66666667,19.75308642,2.05,0.0375,2.425968732,-0.311753861,15,0.003224766,20,0.052993658
Bile.duct,,,,,,,,,,,,,70300000,7.846955325,7.846955325,,,,,,,,,,,,,,,,,,,,,12,0.005482103,4,0.002794797
Bladder,,,,,,,,,45,0.02,2,2.12,,,,,,,,,,,,,,,,,,,,,,,,19,0.064387832,9,0.007739439
Bone,120,1098000,,,,,,,9150,7,,,,,,1900000000,9.278753601,4180000,0.067,5,29260000,,,,,,,,,,,,,,,16,0.00924433,19,0.062882941
Brain,560,743960,1400,110,7.90E-02,602,0.18,0.43,1328.5,1.2,503.8,52.9,3.00E+12,12.47712125,12.47712125,84600000000,10.92737036,135000000,0,0,270000000,170,0.127963869,18,0.013549116,1000,0.752728641,4.8,0.003613097,3.75,0.026659139,5.882352941,0.266666667,1.549207684,-0.769551079,0,0,13,0.040524562
Diaphragm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17,0.016661292
Eyes,,,,,,,,,15,,,,,,,,,,,,,0.08,0.005333333,0.022,0.001466667,0.27,0.018,,,,,3.375,,,-0.528273777,14,0.003439751,0,0
Gallbladder,,,,,,,,,9,,,,161000000,8.206825876,8.206825876,160000000,8.204119983,1600000,0.584,47,78400000,,,,,,,,,,,,,,,18,0.010964205,13,0.009351822
Heart,1000,,,,,,,,,,153.5,80.6,2000000000,9.301029996,9.301029996,,,,,,,,,,,,,,,,,,,,,0,0,14,0.038697194
Kidney,3500,1023750,310,70,0.225,1000,0.07,3.23,292.5,2,754.3,396,10300000000,10.01283722,10.01283722,,,,,,,40,0.136752137,8.5,0.029059829,230,0.786324786,0.5,0.001709402,17,0.273504274,5.75,0.058823529,1.903089987,-0.759667845,22,0.034290014,17,0.035794905
Large.intestine,1500,547500,,,,,,,365,2.2,,,,,,30000000000,10.47712125,200000000,73,5840,1.17E+12,43,0.117808219,7.7,0.02109589,270,0.739726027,0.2,0.000547945,38.5,0.589041096,6.279069767,0.025974026,2.33243846,-0.797895309,23,0.152853918,16,0.023218317
Larynx,,,,,,,,,23.5,,,,,,,,,,,,,0.000043,,,,17,0.723404255,0.05,0.00212766,,0,,,-3.065501549,,11,0.008169408,1,0.001827368
Liver,1100,1760000,1800,250,1.39E-01,1475,1.70E-01,0.82,1600,10,,,2.41E+11,11.38201704,11.38201704,2.41E+11,11.38201704,3010000000,0.9125,88,2.71E+11,260,0.1625,51,0.031875,1200,0.75,4.7,0.0029375,10.85106383,0.034574468,4.615384615,0.092156863,1.74287549,-0.664207898,16,0.008491884,19,0.095775556
Lung,400,184000,440,530,1.21E+00,6000,9.00E-02,13.6,460,10.5,,,1.09E+11,11.03542974,11.03542974,4.34E+11,11.63748973,1220000000,0.07,5.6,9272000000,100,0.217391304,28,0.060869565,740,1.608695652,0.78,0.001695652,35.8974359,0.2787068,7.4,0.027857143,2.107905397,-0.86923172,25,0.151349027,20,0.093303236
Lymph.nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0.313232291
Neck.head,,,,,,,,,,,,,,,,,,,,,2.93E+07,,,,,,,,,,,,,,,19,0.033537569,1,0.000429969
Oesophagus,,,,,,,,,37.5,,,,,,,680000000,8.832508913,4000000,24,1947,1.20E+09,,,,,27,0.72,0.034,0.000906667,,,,,,,18,0.019671074,5,0.00440718
Omentum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,0.018273675
